"Month","SLight","SO_LogeSPM","SI_LogeSPM","SO_temp","D_temp","SI_temp","Rivervol_SI","log10Kvert","mixLscale","D_SO_upwelling","SO_D_downwelling","SO_OceanIN","D_OceanIN","SI_OceanIN","SI_OceanOUT","SO_SI_flow","habS1_pdist","habS2_pdist","habS3_pdist","habD1_pdist","habD2_pdist","habD3_pdist","Inshore_waveheight","DO_log10Kvert","DO_mixLscale","DO_D_upwelling","D_DO_downwelling"
1,0.278467648114125,6.52415126104136,6.43355988437673,3.47150238203346,2.4595169695551,6.69875644642234,7.57957937331513e-06,-1.38635060479018,1,0.00602783184775915,0.000625911938554429,0.105901924616508,0.0687213468374011,0.00922515423616897,0.000308660871278802,0.0473175831585089,0.05,0.05,0.05,0.05,0.05,0.05,2.93608553409576,-3.79054865352374,0.9,0.000868591356312982,0.000832143430585017
2,2.12488701533517,6.39518571877592,6.41386222010822,3.00737366281397,2.36239090374794,6.33274813882846,5.8128973331749e-06,-1.30776597097403,1,0.0068914135491264,0.000708454903379465,0.0825674283890801,0.0545045758844882,0.00647164452645859,0.000203858618578007,0.0359263679638238,0.05,0.05,0.05,0.05,0.05,0.05,2.91490802764893,-3.87461930420792,0.9,0.000859847700102241,0.000850114598735766
3,8.5269317890283,6.10435688723027,6.14998242682046,2.71751038011497,2.2429438586878,6.03955575356347,6.35997139743207e-06,-1.53692683860571,1,0.00813294274901488,0.000878400687086041,0.102803562284917,0.0675377735881291,0.00642016631332885,0.000220697482171076,0.0427404672057733,0.05,0.05,0.05,0.05,0.05,0.05,2.87261147499084,-3.83891087606594,0.9,0.000830331281580889,0.000854040604698466
4,18.5453046179048,5.99429244483342,6.21755646770669,2.8054608207175,2.21425575406572,6.24364167950053,8.36755529539236e-06,-1.7495503460496,0.884163508,0.00763073078493693,0.000844396693390386,0.103596269988931,0.0670340106668703,0.0057686528715513,0.000196554068907945,0.0378359919514736,0.05,0.05,0.05,0.05,0.05,0.05,2.09489059448242,-3.89335037374661,0.9,0.000764827153798555,0.000828236909075011
5,27.8879253158525,6.27245782436197,6.48228892795502,3.50151596484082,2.26131350148916,7.13909234771415,9.55198322405778e-06,-2.09093311486851,0.607671289,0.00522139370501705,0.000633305657630411,0.0964264571427566,0.0602849291226822,0.0048705295504914,0.000144489440981986,0.0315001255643777,0.05,0.05,0.05,0.05,0.05,0.05,1.62447792291641,-4.15564947668078,0.9,0.000665436273255536,0.000812234401493837
6,30.025170321784,6.79447360696999,6.81213410382377,4.8919660025204,2.31841014069909,8.69819604742146,8.60782775405778e-06,-2.90971481475937,0.446021763,0.00314525542680095,0.000401979973470168,0.0885121896787026,0.05348706993683,0.00419714563055133,0.000173435137860947,0.0312539907031531,0.05,0.05,0.05,0.05,0.05,0.05,1.44809292554855,-4.22954718216999,0.9,0.000649482450536476,0.000763602152540942
7,26.088202276573,6.75747321971657,6.51613591464597,6.4736124021325,2.38730339274431,10.6319377074503,7.75420233011372e-06,-4.21288555274462,0.411451011,0.00268021697732861,0.000346006124790308,0.0817995410722107,0.0481298342406931,0.0038461472996004,0.000124359308964723,0.031346112387814,0.05,0.05,0.05,0.05,0.05,0.05,1.25227006077766,-4.33421958325203,0.9,0.000643272892788664,0.000769293652966675
8,19.3735809992323,6.46447219103014,6.28129640710971,7.49590947795449,2.45518059474004,11.7776189791916,5.81805843556761e-06,-4.64476596433859,0.476442673,0.00279931227942791,0.0002942352611579,0.0791005872064143,0.0490962857702313,0.00433975686868279,0.000265005255242226,0.0331867061038307,0.05,0.05,0.05,0.05,0.05,0.05,1.37344961166382,-4.21862203582251,0.9,0.000668062070388175,0.000729362676250014
9,11.1858615910071,6.30474968950924,6.25650131418005,7.69628321553864,2.51209295304118,11.5555884476929,5.59680864685817e-06,-4.01922448163943,0.639261454,0.00280693657050517,0.000300170178323519,0.0851026768246402,0.0542408509150505,0.00602745592675367,0.0002439733299442,0.0370335055651253,0.05,0.05,0.05,0.05,0.05,0.05,1.86610975265503,-4.01772224335328,0.9,0.000675582538755835,0.000748805295007142
10,3.88242343406543,6.43318210525243,6.34898497602354,6.8373072736366,2.54348859632606,10.5280940272482,7.59872456940954e-06,-2.38051826719811,0.922987598,0.00354698701187627,0.000331594581285472,0.100659910238635,0.0629129946993395,0.0088429455571759,0.000329621636404425,0.0436422687731853,0.05,0.05,0.05,0.05,0.05,0.05,2.37584465742111,-3.8813795809585,0.9,0.000796823703289073,0.000798717229726133
11,0.627730703877459,6.46051200061336,6.50591354352367,5.45604923511239,2.57785246739321,8.82595897286494,8.76462474527334e-06,-1.80526865541862,1,0.00471543643125796,0.000386148397872577,0.0972687672444732,0.0619404653756825,0.0083452664841375,0.000316282743709402,0.0431306836029031,0.05,0.05,0.05,0.05,0.05,0.05,2.57379122972488,-3.89822355766022,0.9,0.000881904352091194,0.000828551489498738
12,0.0678099842356756,6.45128304743492,6.48196711514362,4.32179940504476,2.55228706605035,7.46879876571459,9.49715507154332e-06,-1.48678866838215,1,0.00508071426671747,0.000500073068752575,0.104570778369697,0.0661394904002952,0.00927142080966168,0.00028281695011905,0.0464909125256414,0.05,0.05,0.05,0.05,0.05,0.05,3.13790488243103,-3.8548751457628,0.9,0.00085730929600657,0.000851833549126948
