Units,mMN_per_gWW
Suspended_detritus,1.25786164
Ice_detritus,1.25786164
Sediment_detritus,1.25786164
Discards,1.25786164
Corpses,1.25786164
Macrophytes,2.07
Phytoplankton,1.25786164
Omnivorous_zooplankton,1.25786164
Carnivorous_zooplanton,1.25786164
Larvae_susp_deposit_feeding_benthos,1.25786164
Susp_deposit_feeding_benthos,0.50314465
Larvae_carn_scav_feeding_benthos,1.25786164
Carn_scav_feeding_benthos,1.00628931
Larvae_planktiv_fish,1.25786164
Planktiv_fish,2.03773585
Migratory_fish,2.31446541
Larvae_demersal_fish,1.25786164
Demersal_fish,1.29559748
Birds,2.51572327
Pinnipeds,2.51572327
Cetaceans,2.51572327
