"Gear_name","Gear_code","Habitat_s0","Habitat_s1","Habitat_s2","Habitat_s3","Habitat_d0","Habitat_d1","Habitat_d2","Habitat_d3","Habitat_DO"
"Mollusc_dredge","MD",0,0,0,0,0,0,0,0,0
"Harpoons","Harp",0.444935970475631,0.0226773264513141,0.183967324881069,0.0488704900523475,0,0,0,0,0.299548888139639
"Kelp_harvester","KH",1,0,0,0,0,0,0,0,0
"Longlines+Gillnets","LLGN",0.413736636348063,0.0826347964175546,0.294012046066389,0.147076461485081,0,0,0,0,0.0625400596829119
"Pelagic_trawl+seine","PTS",0.0218124351404368,0.00388490235723195,0.0178250325293564,0.00552648350252398,0,0,0,0,0.950951146470451
"Creels","CR",0.513324821671412,0.0482210648408209,0.280874209755646,0.153239167338155,0,0,0,0,0.00434073639396599
"Recreational","Rec",0.253581945391938,0.183908023216627,0.487890343163392,0.0746196882280426,0,0,0,0,0
"Shelf_Trawlers","ST",0.461889150588236,0.0570239161652504,0.260663731917748,0.185416513626062,0,0,0,0,0.0350066877027035
"Blank1","B1",0,0,0,0,0,0,0,0,0
"Blank2","B2",0,0,0,0,0,0,0,0,0
"Blank3","B3",0,0,0,0,0,0,0,0,0
"Blank4","B4",0,0,0,0,0,0,0,0,0
