"Gear_name","Gear_code","Activity_.s.m2.d.","Plough_rate_.m2.s."
"Mollusc_dredge","MD",4.46045873641221e-09,22.4
"Harpoons","Harp",1.27536380728929e-09,0
"Kelp_harvester","KH",1,0
"Longlines+Gillnets","LLGN",1.76450612562865e-06,0
"Pelagic_Seiners_ALIEN","PSA",3.22147678007995e-08,0
"Pelagic_Seiners_NORW","PSN",1.9059526950156e-07,0
"Pelagic_trawlers_ALIEN","PTN",2.93399352002419e-06,0
"Pelagic_trawlers_NORW","PTA",5.61503686048495e-08,0
"Creels","CR",1.59629969304342e-09,0
"Recreational","Rec",3.02221100634843e-05,0
"Shelf_Trawlers","ST",4.50749134612542e-06,17.1
"Blank1","B1",0,0
