"Gear_name","Gear_code","Discardrate_PF","Discardrate_DF","Discardrate_MF","Discardrate_FDB","Discardrate_CSB","Discardrate_CZ","Discardrate_BD","Discardrate_SL","Discardrate_CT","Discardrate_KP"
"Mollusc_dredge","MD",1,0,1,0,1,1,1,1,1,1
"Harpoons","Harp",1,1,1,1,1,1,1,1,0,1
"Kelp_harvester","KH",1,1,1,1,1,1,1,1,1,0
"Longlines+Gillnets","LLGN",0.988674607920807,0.933759716755143,0.998984954610405,1,0,0,1,1,0.999999291547545,1
"Pelagic_Seiners_ALIEN","PSA",0,0,0,1,1,1,1,1,1,1
"Pelagic_Seiners_NORW","PSN",0,0,0,1,0,1,1,1,0,1
"Pelagic_trawlers_ALIEN","PTN",0.00182477211053162,0,0.00033022072775831,1,1,1,1,1,1,1
"Pelagic_trawlers_NORW","PTA",0.01350959885574,0.0828593747849598,0.0123686328251891,1,0,0,1,1,1,1
"Creels","CR",1,0,1,0,0,1,1,1,1,1
"Recreational","Rec",1,0,0,1,1,1,1,1,1,1
"Shelf_Trawlers","ST",0.267271818172897,0.015427876901827,0.465745289788195,0,0,0,1,1,0,1
"Blank1","B1",1,1,1,1,1,1,1,1,1,0
