"Gear_name","Gear_code","Power_PF","Power_DF","Power_MF","Power_FDB","Power_CSB","Power_CZ","Power_BD","Power_SL","Power_CT","Power_KP"
"Mollusc_dredge","MD",0,114.670742361347,0,195.624793865273,0,0,0,0,0,0
"Harpoons","Harp",0,0,0,0,0,0,0,0,385.251161070771,0
"Kelp_harvester","KH",0,0,0,0,0,0,0,0,7.1377278688769e-07,0.000236479537713223
"Longlines+Gillnets","LLGN",80.5802816836373,718.412939637231,156.275822509627,0,2.20412211543856e-05,1.83933285371088e-05,0,0,2.36831170833198,0
"Pelagic_Seiners_ALIEN","PSA",1181.50207658307,71.3988343515472,5547.54915689809,0,0,0,0,0,0,0
"Pelagic_Seiners_NORW","PSN",11363.319007423,345.158384212395,6958.07718848433,0,0.00133047092975987,0,0,0,0.0068030103601584,0
"Pelagic_trawlers_ALIEN","PTN",72.6257481738133,0.108144012092375,42.0898843872402,0,0,0,0,0,0,0
"Pelagic_trawlers_NORW","PTA",2261.89860685336,123.262937818235,629.503421907299,0,1.05995523498015e-05,0.0050378009616733,0,0,0,0
"Creels","CR",0,2.61432438917199,0,0.353737826968958,19.0985359861736,0,0,0,763.291271912371,0
"Recreational","Rec",0,2.95262893685513,0.0191401204991264,0,0,0,0,0,0,0
"Shelf_Trawlers","ST",13.2521658554682,82.2127377089174,2.12571716609078,1.19275628988454e-06,0.0139910937197834,0.000947270845132706,0,0,0.00106329074469635,0
"Blank1","B1",0,0,0,0,0,0,0,0,0,0
