"Gear_name","Gear_code","Discardweight_PF","Discardweight_DF","Discardweight_MF","Discardweight_FDB","Discardweight_CSB","Discardweight_CZ","Discardweight_BD","Discardweight_SL","Discardweight_CT","Discardweight_KP"
"Mollusc_dredge","MD",0,0,0,0,0,0,0,0,0,0
"Harpoons","Harp",0,0,0,0,0,0,0,0,0,0
"Kelp_harvester","KH",0,0,0,0,0,0,0,0,1.02048531882275e-10,0
"Longlines+Gillnets","LLGN",2.48315399206721e-08,3.18002220789771e-07,4.28561405236018e-08,0,0,0,0,0,5.97459539408697e-10,0
"Pelagic_Seiners_ALIEN","PSA",0,0,0,0,0,0,0,0,0,0
"Pelagic_Seiners_NORW","PSN",0,0,0,0,0,0,0,0,0,0
"Pelagic_trawlers_ALIEN","PTN",6.86841812329585e-11,0,6.34425103932857e-12,0,0,0,0,0,0,0
"Pelagic_trawlers_NORW","PTA",3.0308644890837e-10,1.54072269697345e-10,6.80160724477494e-11,0,0,0,0,0,0,0
"Creels","CR",0,0,0,0,0,0,0,0,1.74201344043018e-10,0
"Recreational","Rec",0,0,0,0,0,0,0,0,0,0
"Shelf_Trawlers","ST",2.82015678492051e-09,1.5359528339436e-09,6.94269359666249e-10,0,0,0,0,0,0,0
"Blank1","B1",0,0,0,0,0,0,0,0,0,0
