"Month","SLight","SO_LogeSPM","SI_LogeSPM","SO_temp","D_temp","SI_temp","Rivervol_SI","log10Kvert","mixLscale","D_SO_upwelling","SO_D_downwelling","SO_OceanIN","D_OceanIN","SI_OceanIN","SI_OceanOUT","SO_SI_flow","habS1_pdist","habS2_pdist","habS3_pdist","habD1_pdist","habD2_pdist","habD3_pdist","Inshore_waveheight","DO_log10Kvert","DO_mixLscale","DO_D_upwelling","D_DO_downwelling"
1,0.286337684240588,6.52415126104136,6.43355988437673,3.11102761747841,3.32904658774114,6.45507227085424,8.65079382565459e-06,-2.44263653366568,1,0.0230686211012344,0.00249940765226445,0.00771108981540347,0.0044879847833155,0.00117085619624355,0,5.00732921993725e-05,0.0003266419,0.0003266419,0.0003266419,9.619828e-08,9.619828e-08,9.619828e-08,2.93608553409576,-4.34598426932522,0.9,0.00172862579932814,0.00186964388550985
2,2.63842591643928,6.39518571877592,6.41386222010822,2.81243591004295,3.2451484684551,6.09650317186036,7.17393148211489e-06,-2.34835494694435,1,0.0275353212976719,0.00302847411607534,0.00718886583572098,0.00421544714416869,0.00105529063154207,1.80861858343142e-05,4.96078195280069e-05,0.0003266419,0.0003266419,0.0003266419,9.619828e-08,9.619828e-08,9.619828e-08,2.91490802764893,-4.22321498411132,0.9,0.00179945000405131,0.0018801462630942
3,9.45618752266884,6.10435688723027,6.14998242682046,2.6853538533466,3.17217150410754,5.77429106108089,5.79888665670043e-06,-2.3623976847712,1,0.0315195638505275,0.0034574948533141,0.00642733088670806,0.00395574431003287,0.000927202278172334,0,3.87961630088698e-05,0.0003266419,0.0003266419,0.0003266419,9.619828e-08,9.619828e-08,9.619828e-08,2.87261147499084,-4.26439737725152,0.9,0.00189230147086551,0.00192568982843772
4,19.8254097701498,5.99429244483342,6.21755646770669,2.73864921719667,3.14785926930862,5.85159717090477,6.89039778952156e-06,-2.43965738318825,0.884163508,0.0313302066986882,0.00349905437864936,0.00610298553774307,0.00367102349586749,0.00075311194006728,0,3.09220845324834e-05,0.0003266419,0.0003266419,0.0003266419,9.619828e-08,9.619828e-08,9.619828e-08,2.09489059448242,-4.44269251476664,0.9,0.0016794231316232,0.00181524827506745
5,28.3479480970041,6.27245782436197,6.48228892795502,3.1890328026924,3.18275973265864,6.69561759199468,1.07615914800648e-05,-2.81789239090368,0.607671289,0.0208956674780846,0.00235228958682416,0.00543787563142723,0.00321521750419056,0.000783912067200224,0,2.92666289113134e-05,0.0003266419,0.0003266419,0.0003266419,9.619828e-08,9.619828e-08,9.619828e-08,1.62447792291641,-4.52058722846589,0.9,0.00148036236845725,0.0016020306076713
6,33.7170455978717,6.79447360696999,6.81213410382377,4.34657100378642,3.22789345707161,8.23708937437038,8.29641996172976e-06,-4.13306396313296,0.446021763,0.00989576889750808,0.00115573023591633,0.00510010289035826,0.00280863671910783,0.000723614804140774,2.19955450039055e-06,2.41604253813032e-05,0.0003266419,0.0003266419,0.0003266419,9.619828e-08,9.619828e-08,9.619828e-08,1.44809292554855,-4.66725356634478,0.9,0.00129232587592391,0.0013956181521422
7,29.9463473900295,6.75747321971657,6.51613591464597,5.65395942193826,3.25827515437679,9.6151015984119,7.67729722847323e-06,-4.58966409420416,0.411451011,0.0069295652260824,0.000826826055721118,0.00456478978302651,0.00255465207240849,0.000675903049958611,2.66702317143331e-06,2.29923610636674e-05,0.0003266419,0.0003266419,0.0003266419,9.619828e-08,9.619828e-08,9.619828e-08,1.25227006077766,-4.71179670750299,0.9,0.00123416024216646,0.00133657184209873
8,19.3517336714632,6.46447219103014,6.28129640710971,6.52967183794005,3.28735434138713,10.3902418230623,7.10733212154496e-06,-4.64513859914749,0.476442673,0.00582994104869209,0.000640647348077285,0.00477482044621969,0.00254768223478217,0.000794438009713431,0,2.72465637101681e-05,0.0003266419,0.0003266419,0.0003266419,9.619828e-08,9.619828e-08,9.619828e-08,1.37344961166382,-4.6942452792121,0.9,0.00123096394256117,0.00130693347179642
9,10.7029683516803,6.30474968950924,6.25650131418005,6.62366553275486,3.32556868434206,10.7496448133884,7.0926267986427e-06,-4.456836405306,0.639261454,0.00603252332463052,0.000610972332027721,0.00576964553440421,0.00343903211168401,0.00107489895412623,0,3.81167537320033e-05,0.0003266419,0.0003266419,0.0003266419,9.619828e-08,9.619828e-08,9.619828e-08,1.86610975265503,-4.41265731118151,0.9,0.00136989576889054,0.00143327754466305
10,4.05204048188164,6.43318210525243,6.34898497602354,6.02905134018383,3.37851145268233,10.2381911998256,9.2888233460238e-06,-3.73911398146773,0.922987598,0.00694882268949645,0.000661290054140555,0.00640252563641132,0.00382579370038054,0.00110531374237507,0,4.20238537665934e-05,0.0003266419,0.0003266419,0.0003266419,9.619828e-08,9.619828e-08,9.619828e-08,2.37584465742111,-4.45871813964661,0.9,0.00151299299155189,0.0015213802826429
11,0.638612307837627,6.46051200061336,6.50591354352367,4.86504277545035,3.42782615600893,8.61890879022653,1.05071493096791e-05,-3.06152225613944,1,0.00938331620550083,0.00101306626789356,0.00712450458743059,0.00424153717809911,0.00112529007187527,0,4.61609300999813e-05,0.0003266419,0.0003266419,0.0003266419,9.619828e-08,9.619828e-08,9.619828e-08,2.57379122972488,-4.42139296764221,0.9,0.00162462006966779,0.00170525701212252
