"Month","SLight","SO_LogeSPM","SI_LogeSPM","SO_temp","D_temp","SI_temp","Rivervol_SI","log10Kvert","mixLscale","D_SO_upwelling","SO_D_downwelling","SO_OceanIN","D_OceanIN","SI_OceanIN","SI_OceanOUT","SO_SI_flow","habS1_pdist","habS2_pdist","habS3_pdist","habD1_pdist","habD2_pdist","habD3_pdist","Inshore_waveheight","DO_log10Kvert","DO_mixLscale","DO_D_upwelling","D_DO_downwelling"
1,0.36923573869754,6.52415126104136,6.43355988437673,3.11713333644631,1.91924879477199,6.90407764218042,8.94954642017571e-06,-1.9133730913939,1,0.0155840327853029,0.00170161645426546,0.0135747153381793,0.008514686227515,0.00137699594622056,0,6.19382845556456e-05,0.0003266419,0.0003266419,0.0003266419,9.619828e-08,9.619828e-08,9.619828e-08,2.93608553409576,-4.19045000565916,0.9,0.00216697789426894,0.00235309084609975
2,3.19090987761851,6.39518571877592,6.41386222010822,2.50331887159851,1.82561723132256,6.34057096688367,7.73669380668766e-06,-1.72266091682644,1,0.0174962407862489,0.00191591137502285,0.0128532910289026,0.0079595975810032,0.00126049554369468,0,6.46087435907773e-05,0.0003266419,0.0003266419,0.0003266419,9.619828e-08,9.619828e-08,9.619828e-08,2.91490802764893,-4.14238087521525,0.9,0.00211905449472047,0.00229543555521189
3,11.5000994736914,6.10435688723027,6.14998242682046,2.1491257019834,1.73655527431906,5.9898942410692,6.53203727435859e-06,-1.77920023730846,1,0.0215160352728119,0.00230034169668476,0.0126633840314862,0.00839141780247265,0.00103022986755296,0,5.26099453271704e-05,0.0003266419,0.0003266419,0.0003266419,9.619828e-08,9.619828e-08,9.619828e-08,2.87261147499084,-4.18925278955578,0.9,0.00214608809084308,0.00231783572811377
4,23.6607322195616,5.99429244483342,6.21755646770669,2.24368311111891,1.71056841441843,6.08359725764576,7.56941314256323e-06,-2.06784369042154,0.884163508,0.0220618586970937,0.00241516568098374,0.0122247501929496,0.00849975787550342,0.000922202519420581,0,4.77002499340896e-05,0.0003266419,0.0003266419,0.0003266419,9.619828e-08,9.619828e-08,9.619828e-08,2.09489059448242,-4.2611004169144,0.9,0.00199887754587066,0.0021944344812868
5,35.1681075232429,6.27245782436197,6.48228892795502,3.00176029230709,1.75011214951663,7.00208590942172,1.07801600491901e-05,-2.64109165941031,0.607671289,0.0146752539472357,0.00165328482625122,0.0123995908996128,0.00807957693491587,0.000724949683018352,6.78030781453356e-06,3.7650668077867e-05,0.0003266419,0.0003266419,0.0003266419,9.619828e-08,9.619828e-08,9.619828e-08,1.62447792291641,-4.39448004782186,0.9,0.00182329659103591,0.00201977091227511
6,38.3092320927628,6.79447360696999,6.81213410382377,4.60388446887286,1.80125638802294,8.70650591821482,8.19945054656086e-06,-4.40305300438265,0.446021763,0.00869454658822182,0.00104473633911012,0.0113174776417152,0.00674899233239096,0.000617039134168228,4.1999818912421e-06,3.76744969978259e-05,0.0003266419,0.0003266419,0.0003266419,9.619828e-08,9.619828e-08,9.619828e-08,1.44809292554855,-4.47765899807168,0.9,0.00178003624602001,0.00198945641669738
7,32.4825155644053,6.75747321971657,6.51613591464597,6.222799590577,1.86586056466591,10.4221195277401,7.1195562895363e-06,-4.74556814686676,0.411451011,0.00718079858736679,0.000852279593254044,0.00996139783712787,0.00586017137904207,0.000562923094210172,2.654187351458e-06,4.24181524479636e-05,0.0003266419,0.0003266419,0.0003266419,9.619828e-08,9.619828e-08,9.619828e-08,1.25227006077766,-4.52392559594252,0.9,0.00172176418872646,0.00190812857666055
8,24.0066675755195,6.46447219103014,6.28129640710971,7.44082187587016,1.93050719981771,11.5901378434776,6.00914839952149e-06,-4.80235272333785,0.476442673,0.0067146813340731,0.000778943386901266,0.00966720976350708,0.00563263251114998,0.000732799290330975,0,5.32832581484032e-05,0.0003266419,0.0003266419,0.0003266419,9.619828e-08,9.619828e-08,9.619828e-08,1.37344961166382,-4.54760978872209,0.9,0.00167204288700747,0.00188919753756418
9,13.4871134943821,6.30474968950924,6.25650131418005,7.65277507517576,1.97439538164577,11.7922937318576,6.86529575553444e-06,-4.43349216674074,0.639261454,0.0074979533604091,0.000738554483307565,0.0107776192532383,0.00654665564182058,0.00107035922169279,1.13957768994254e-05,6.20393781294495e-05,0.0003266419,0.0003266419,0.0003266419,9.619828e-08,9.619828e-08,9.619828e-08,1.86610975265503,-4.3849232103108,0.9,0.00179073986568664,0.00194076189067382
10,4.88591357230433,6.43318210525243,6.34898497602354,6.80928299225683,1.99224311516505,10.6958199776795,9.81050993348425e-06,-3.39305983318025,0.922987598,0.00865681817749949,0.000781302205128847,0.0132964773626545,0.00824842577584656,0.00134329009742335,0,7.25932189126587e-05,0.0003266419,0.0003266419,0.0003266419,9.619828e-08,9.619828e-08,9.619828e-08,2.37584465742111,-4.25924553002678,0.9,0.00198264359969532,0.00205052544357166
