"Gear_name","Gear_code","Habitat_s0","Habitat_s1","Habitat_s2","Habitat_s3","Habitat_d0","Habitat_d1","Habitat_d2","Habitat_d3","Habitat_DO"
"Mollusc_dredge","MD",0.99990954177065,0,8.83846997694539e-05,2.07352958066695e-06,0,0,0,0,0
"Harpoons","Harp",0.422786907192335,0.0254641846833407,0.19978533804117,0.0503016490022063,0,0,0,0,0.301661921080948
"Kelp_harvester","KH",1,0,0,0,0,0,0,0,0
"Longlines+Gillnets","LLGN",0.420237537425419,0.0630337894011421,0.316082773443171,0.138937603227698,0,0,0,0,0.0617082965025708
"Pelagic_trawl+seine","PTS",0.00210542050480941,0.000778135526848193,0.00338752840671811,0.000983549671428655,0,0,0,0,0.992745365890196
"Creels","CR",0.473918078598732,0.0554712878990966,0.297249010408214,0.15728035097343,0,0,0,0,0.0160812721205276
"Recreational","Rec",0.253581945391938,0.183908023216627,0.487890343163392,0.0746196882280426,0,0,0,0,0
"Seiners","Sein",0.311689208451246,0.0294877420684189,0.18639894746395,0.0777376310511118,0,0,0,0,0.394686470965273
"Shelf_Trawlers","ST",0.209914562269303,0.0508602954755662,0.137641270015781,0.104924182334288,0,0,0,0,0.496659689905061
"Blank2","B2",0,0,0,0,0,0,0,0,0
"Blank3","B3",0,0,0,0,0,0,0,0,0
"Blank4","B4",0,0,0,0,0,0,0,0,0
