Gear_name,Gear_code,Habitat_s0,Habitat_s1,Habitat_s2,Habitat_s3,Habitat_d0,Habitat_d1,Habitat_d2,Habitat_d3,Habitat_DO
Mollusc_dredge,MD,0,0,0,0,0,0,0,0,1
Harpoons,Harp,0.282598178,0.083799267,0.294852525,0.014983665,0,0,0,0,0.323766365
Kelp_harvester,KH,1,0,0,0,0,0,0,0,0
Longlines+Gillnets,LLGN,0.286709432,0.149538456,0.352162815,0.029531306,0,0,0,0,0.182057991
Pelagic_trawl+seine,PTS,0.024336361,0.010461617,0.029004345,0.004684699,0,0,0,0,0.931512978
Creels,CR,0.160245666,0.070081388,0.181164448,0.013451038,0,0,0,0,0.57505746
Recreational,Rec,0.253581945,0.183908023,0.487890343,0.074619688,0,0,0,0,0
Shelf_Trawlers,ST,0.2558568,0.174335467,0.322249359,0.057598571,0,0,0,0,0.189959803
NA,NA,0,0,0,0,0,0,0,0,0
NA,NA,0,0,0,0,0,0,0,0,0
NA,NA,0,0,0,0,0,0,0,0,0
NA,NA,0,0,0,0,0,0,0,0,0
